<TICKER>,<DTYYYYMMDD>,<FIRST>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
Kian.Gold.ETF,20230807,130000.00,130400.00,129151.00,129505.00,237194727098,1831546,462,D,129274.00,129350.00
Kian.Gold.ETF,20230806,130131.00,130999.00,128810.00,129274.00,83627316104,646900,742,D,131232.00,129647.00
Kian.Gold.ETF,20230805,133061.00,133061.00,130071.00,131232.00,140026531997,1067015,996,D,132763.00,130560.00
Kian.Gold.ETF,20230801,130510.00,134987.00,130510.00,132763.00,235755299358,1775758,1042,D,127909.00,133900.00
Kian.Gold.ETF,20230731,126795.00,129100.00,126082.00,127909.00,66083687080,516646,539,D,126639.00,129099.00
Kian.Gold.ETF,20230730,127900.00,127900.00,125500.00,126639.00,71751341577,566583,613,D,126173.00,126200.00
Kian.Gold.ETF,20230729,126399.00,126800.00,125680.00,126173.00,26732858576,211874,344,D,126445.00,126789.00
Kian.Gold.ETF,20230726,126299.00,127249.00,125801.00,126445.00,43336631350,342731,567,D,123982.00,126420.00
Kian.Gold.ETF,20230725,123400.00,125000.00,122300.00,123982.00,51559626995,415863,429,D,121737.00,124600.00
Kian.Gold.ETF,20230724,120999.00,122800.00,120259.00,121737.00,66958753182,550027,588,D,121174.00,122671.00
Kian.Gold.ETF,20230723,122731.00,122731.00,120251.00,121174.00,54051877366,446070,581,D,123418.00,120821.00
Kian.Gold.ETF,20230722,124599.00,124599.00,122701.00,123418.00,185226058176,1500800,656,D,124154.00,122990.00
Kian.Gold.ETF,20230719,124650.00,124996.00,124000.00,124154.00,152078550491,1224920,480,D,125168.00,124018.00
Kian.Gold.ETF,20230718,125051.00,126296.00,124650.00,125168.00,264058186854,2109627,524,D,124289.00,124650.00
Kian.Gold.ETF,20230717,124200.00,125989.00,123801.00,124289.00,79437897380,639140,520,D,124574.00,124999.00
Kian.Gold.ETF,20230716,125999.00,125999.00,124000.00,124574.00,160420299571,1287753,637,D,126678.00,124250.00
Kian.Gold.ETF,20230715,126000.00,127970.00,126000.00,126678.00,283893892805,2241069,614,D,125939.00,126900.00
Kian.Gold.ETF,20230712,125350.00,126700.00,125000.00,125939.00,204370422638,1622774,641,D,126052.00,126399.00
Kian.Gold.ETF,20230711,126997.00,126997.00,125500.00,126052.00,50809906587,403088,477,D,127458.00,125912.00
Kian.Gold.ETF,20230710,128800.00,128800.00,127300.00,127458.00,137576666232,1079391,489,D,129055.00,127450.00
Kian.Gold.ETF,20230709,129000.00,129361.00,128500.00,129055.00,220729679143,1710354,527,D,130009.00,128997.00
